Itération 249, nodeeco: 166
Itération 248, nodeeco: 161
Itération 247, nodeeco: 172
Itération 246, nodeeco: 175
Itération 245, nodeeco: 159
Itération 244, nodeeco: 158
Itération 243, nodeeco: 174
Itération 242, nodeeco: 163
Itération 241, nodeeco: 171
Itération 240, nodeeco: 168
Itération 239, nodeeco: 143
Itération 238, nodeeco: 157
Itération 237, nodeeco: 170
Itération 236, nodeeco: 170
Itération 235, nodeeco: 159
Itération 234, nodeeco: 166
Itération 233, nodeeco: 160
Itération 232, nodeeco: 171
Itération 231, nodeeco: 173
Itération 230, nodeeco: 138
Itération 229, nodeeco: 159
Itération 228, nodeeco: 156
Itération 227, nodeeco: 134
Itération 226, nodeeco: 156
Itération 225, nodeeco: 134
Itération 224, nodeeco: 144
Itération 223, nodeeco: 144
Itération 222, nodeeco: 140
Itération 221, nodeeco: 155
Itération 220, nodeeco: 133
Itération 219, nodeeco: 148
Itération 218, nodeeco: 146
Itération 217, nodeeco: 150
Itération 216, nodeeco: 153
Itération 215, nodeeco: 148
Itération 214, nodeeco: 151
Itération 213, nodeeco: 150
Itération 212, nodeeco: 143
Itération 211, nodeeco: 148
Itération 210, nodeeco: 131
Itération 209, nodeeco: 141
Itération 208, nodeeco: 133
Itération 207, nodeeco: 149
Itération 206, nodeeco: 157
Itération 205, nodeeco: 139
Itération 204, nodeeco: 138
Itération 203, nodeeco: 128
Itération 202, nodeeco: 121
Itération 201, nodeeco: 152
Itération 200, nodeeco: 134
Itération 199, nodeeco: 126
Itération 198, nodeeco: 144
Itération 197, nodeeco: 131
Itération 196, nodeeco: 125
Itération 195, nodeeco: 128
Itération 194, nodeeco: 121
Itération 193, nodeeco: 131
Itération 192, nodeeco: 123
Itération 191, nodeeco: 126
Itération 190, nodeeco: 137
Itération 189, nodeeco: 129
Itération 188, nodeeco: 127
Itération 187, nodeeco: 121
Itération 186, nodeeco: 122
Itération 185, nodeeco: 115
Itération 184, nodeeco: 119
Itération 183, nodeeco: 119
Itération 182, nodeeco: 114
Itération 181, nodeeco: 96
Itération 180, nodeeco: 127
Itération 179, nodeeco: 117
Itération 178, nodeeco: 130
Itération 177, nodeeco: 121
Itération 176, nodeeco: 117
Itération 175, nodeeco: 102
Itération 174, nodeeco: 118
Itération 173, nodeeco: 117
Itération 172, nodeeco: 102
Itération 171, nodeeco: 108
Itération 170, nodeeco: 101
Itération 169, nodeeco: 117
Itération 168, nodeeco: 112
Itération 167, nodeeco: 109
Itération 166, nodeeco: 117
Itération 165, nodeeco: 102
Itération 164, nodeeco: 108
Itération 163, nodeeco: 105
Itération 162, nodeeco: 105
Itération 161, nodeeco: 104
Itération 160, nodeeco: 100
Itération 159, nodeeco: 95
Itération 158, nodeeco: 106
Itération 157, nodeeco: 108
Itération 156, nodeeco: 102
Itération 155, nodeeco: 113
Itération 154, nodeeco: 109
Itération 153, nodeeco: 93
Itération 152, nodeeco: 104
Itération 151, nodeeco: 100
Itération 150, nodeeco: 94
Itération 149, nodeeco: 99
Itération 148, nodeeco: 104
Itération 147, nodeeco: 93
Itération 146, nodeeco: 82
Itération 145, nodeeco: 109
Itération 144, nodeeco: 85
Itération 143, nodeeco: 90
Itération 142, nodeeco: 98
Itération 141, nodeeco: 97
Itération 140, nodeeco: 92
Itération 139, nodeeco: 97
Itération 138, nodeeco: 90
Itération 137, nodeeco: 87
Itération 136, nodeeco: 89
Itération 135, nodeeco: 94
Itération 134, nodeeco: 91
