Itération 222, nodeeco: 255
Itération 221, nodeeco: 255
Itération 220, nodeeco: 255
Itération 219, nodeeco: 255
Itération 218, nodeeco: 255
Itération 217, nodeeco: 255
Itération 216, nodeeco: 255
Itération 215, nodeeco: 255
Itération 214, nodeeco: 255
Itération 213, nodeeco: 255
Itération 212, nodeeco: 255
Itération 211, nodeeco: 255
Itération 210, nodeeco: 255
Itération 209, nodeeco: 255
Itération 208, nodeeco: 255
Itération 207, nodeeco: 255
Itération 206, nodeeco: 255
Itération 205, nodeeco: 255
Itération 204, nodeeco: 255
Itération 203, nodeeco: 255
Itération 202, nodeeco: 255
Itération 201, nodeeco: 255
Itération 200, nodeeco: 255
Itération 199, nodeeco: 255
Itération 198, nodeeco: 255
Itération 197, nodeeco: 255
Itération 196, nodeeco: 255
Itération 195, nodeeco: 255
Itération 194, nodeeco: 255
Itération 193, nodeeco: 255
Itération 192, nodeeco: 255
Itération 191, nodeeco: 255
Itération 190, nodeeco: 255
Itération 189, nodeeco: 255
Itération 188, nodeeco: 255
Itération 187, nodeeco: 255
Itération 186, nodeeco: 255
Itération 185, nodeeco: 255
Itération 184, nodeeco: 255
Itération 183, nodeeco: 255
Itération 182, nodeeco: 255
Itération 181, nodeeco: 255
Itération 180, nodeeco: 255
Itération 179, nodeeco: 255
Itération 178, nodeeco: 255
Itération 177, nodeeco: 255
Itération 176, nodeeco: 255
Itération 175, nodeeco: 255
Itération 174, nodeeco: 255
Itération 173, nodeeco: 255
Itération 172, nodeeco: 255
Itération 171, nodeeco: 255
Itération 170, nodeeco: 255
Itération 169, nodeeco: 255
Itération 168, nodeeco: 255
Itération 167, nodeeco: 255
Itération 166, nodeeco: 255
Itération 165, nodeeco: 255
Itération 164, nodeeco: 255
Itération 163, nodeeco: 255
Itération 162, nodeeco: 255
Itération 161, nodeeco: 255
Itération 160, nodeeco: 255
Itération 159, nodeeco: 255
Itération 158, nodeeco: 255
Itération 157, nodeeco: 255
Itération 156, nodeeco: 255
Itération 155, nodeeco: 255
Itération 154, nodeeco: 255
Itération 153, nodeeco: 255
Itération 152, nodeeco: 255
Itération 151, nodeeco: 255
Itération 150, nodeeco: 255
Itération 149, nodeeco: 255
Itération 148, nodeeco: 255
Itération 147, nodeeco: 255
Itération 146, nodeeco: 255
Itération 145, nodeeco: 255
Itération 144, nodeeco: 255
Itération 143, nodeeco: 255
Itération 142, nodeeco: 255
Itération 141, nodeeco: 255
Itération 140, nodeeco: 255
Itération 139, nodeeco: 255
Itération 138, nodeeco: 255
Itération 137, nodeeco: 255
Itération 136, nodeeco: 255
Itération 135, nodeeco: 255
Itération 134, nodeeco: 255
Itération 133, nodeeco: 255
Itération 132, nodeeco: 255
Itération 131, nodeeco: 255
Itération 130, nodeeco: 255
Itération 129, nodeeco: 127
Itération 128, nodeeco: 127
Itération 127, nodeeco: 127
Itération 126, nodeeco: 127
Itération 125, nodeeco: 127
Itération 124, nodeeco: 127
Itération 123, nodeeco: 127
Itération 122, nodeeco: 127
Itération 121, nodeeco: 127
Itération 120, nodeeco: 127
Itération 119, nodeeco: 127
Itération 118, nodeeco: 127
Itération 117, nodeeco: 127
Itération 116, nodeeco: 127
Itération 115, nodeeco: 127
Itération 114, nodeeco: 127
Itération 113, nodeeco: 127
Itération 112, nodeeco: 127
Itération 111, nodeeco: 127
